Name, Type, Id, Lon, Lat
Св. Ана, null, 7924937251, 40.9639332, 21.3494482
Св. Петар и Св. Павле / Собор на Светите Апостоли, null, 8894708756, 41.0130915, 21.3434531
Чебренски Манастир, null, 3668914370, 41.1330271, 21.6797859
Свети Атанасиј Велики Архиепископ Александриски, null, 5405822023, 41.1161136, 20.8400708
Св. Спас, null, 8280934705, 41.213145, 21.4819648
Црна Џамија, null, 6284797756, 41.710543, 21.7861191
Џамија Хаџи-Дургут, null, 1207216943, 41.1187289, 20.8055843
Црква Рождество на Пресв. Богородица, null, 499973498, 41.706763, 22.8570672
Црква Св.Лидија, null, 10926875205, 41.0259399, 21.3144015
Манастир Св. Архангел Михаил, null, 499973497, 41.701039, 22.859018
Св. Атанасиј, null, 8196873695, 41.2964446, 21.2531167
Св. Василиј, null, 8672400711, 42.0404227, 22.3522117
Св. Илија, null, 7931414473, 41.3253156, 21.5942923
Св. Димитриј Солунски, null, 7931414477, 41.3250765, 21.5939336
Свети Илија, null, 7121648908, 41.1888901, 22.7192011
Св. Петка, null, 7931414469, 41.3254574, 21.5947115
Рождество на Пресвета Богородица, null, 9688458609, 41.5046299, 21.4062403
Св. Теодор Тирон, null, 9633312951, 41.4679544, 21.5435118
Св. Кирил и Методиј, null, 6276085769, 41.7174161, 21.7741163
Рождество на Пресвета Богородица, null, 8360908991, 41.3734687, 21.7988665
Св. Илија, null, 10611754670, 41.0717649, 21.5049435
Св. Димитриј Солунски, null, 457023668, 41.0299598, 21.3340939
1. Бригада, null, 8412381201, 41.3660204, 20.6485817
Çulu Baba Teqe, null, 2026915603, 41.5121875, 20.9617402
Св. Спас, null, 4078672913, 41.1390387, 22.5107982
Св. Недела, null, 8174370055, 41.0554018, 20.9615661
Sv. Nedela-Kuckovo, null, 1734367867, 42.0554906, 21.302308
Султан Муратова џамија, null, 559750910, 42.0016521, 21.4411567
Св. Илија, null, 1864402613, 42.0604971, 21.2958493
Католичка црква Пресвето срце Исусово, null, 459673946, 41.9950932, 21.4176045
Манастир Св. Ѓорѓи, null, 3631617425, 41.6457968, 22.5086272
Св. Димитриј, null, 5566695172, 41.1768618, 20.6717337
Vardarski Rid, null, 9241915460, 41.1488082, 22.5220207
Црква Св. Петка, null, 9120699958, 41.5618318, 21.1908022
Св. Петка, null, 8916677021, 41.0102076, 21.250168
Манастир „Свети Наум“, null, 1896338752, 40.913963, 20.7404962
Св. Димитриј Солунски, null, 8354807488, 41.1991752, 21.5627784
Црква Света Петка, null, 1804963753, 40.9131005, 20.7415162
Св. Никола, null, 7483124254, 41.2902299, 21.5966698
Св. Богородица, null, 1682245737, 41.0656111, 21.1043391
Манастир Св. Богородица Елеуса, null, 3263433907, 41.4748537, 22.5651714
Sulltan Bejazit, null, 2359280251, 41.5145614, 20.9630497
Св. Димитриј Солунски, null, 2197599989, 41.3375634, 21.3287572
Св. Ѓорѓи, null, 444334967, 41.9172507, 22.4079464
Музеј на македонската борба, null, 1831127085, 41.9982848, 21.4329425
Св. Архангел Михаил, null, 7647593030, 41.4827921, 20.8673838
Преображение Христово, null, 2202224107, 41.6624994, 21.2200983
Св. Атанасиј, null, 4330972446, 41.2743142, 21.3682258
Св. Димитриј Солунски, null, 9688462032, 41.4732983, 21.2889776
Црква "Св. Јован Крстител", null, 2739342233, 41.7333058, 20.828356
Св. Спас, null, 8360889413, 41.2928185, 21.6345271
Св. Никола, null, 10251457188, 41.0402814, 21.0103378
Св. Константин и Елена, null, 2259837065, 41.2649846, 21.437548
Св. Никола, null, 9688462057, 41.4649919, 21.2877839
Св. Наум Охридски, null, 8174310163, 41.0896948, 20.9880968
Манастир Св. Архангели, null, 2008337647, 42.1322905, 21.4137215
Св. Атанасиј, null, 4092518169, 41.3035045, 21.470492
Св. Атанасиј, null, 7817898929, 41.3137744, 21.1466847
Manastir Svetka Petka, null, 3175764807, 42.0594793, 21.509645
Св. Атанасиј, null, 7668703132, 41.2828569, 21.0464002
Света Петка, null, 1855631088, 41.9857725, 21.4312278
Протестантска црква, null, 4278032525, 41.4165598, 22.7503572
Црква Св. Ѓорги, null, 1444796808, 41.2195542, 22.7060739
Пресвета Богородица, null, 2203439063, 41.030395, 21.3391579
Собор на Сите Македонски Светители, null, 8894674771, 41.0263727, 21.3139956
Св. Атанасиј Велики, null, 8894674767, 41.0265534, 21.313902
Нов Лешочки Манастир, null, 9080815363, 42.0660719, 21.0265836
Св. Пантелејмон, null, 3705174923, 41.9010303, 22.7303965
Мали Свети Врачи - Св. Кузман и Дамјан, null, 9897124627, 41.1135425, 20.7967334
Muslim mosque, null, 10049878740, 42.2235516, 21.700367
Св. Архангел Гаврил, null, 10176311931, 42.0068303, 21.5076713
Куќа на Робевци, null, 534925163, 41.112361, 20.7961416
Св. Петка, null, 3420045850, 41.3588735, 21.6269578
Sveti Spiridon, null, 11038699139, 42.1493837, 21.1306996
Св. Атанасиј, null, 9700774752, 41.4791052, 21.4101598
Манастир Св. Харалампие, null, 8195554118, 41.9866198, 22.4818406
Св. Спас, null, 10601636682, 42.0008855, 21.4356771
Црква Св. Варвара, null, 8631802053, 41.2471743, 20.5941604
Успение на Пресвета Богородица, null, 5360918270, 41.9626297, 22.7731511
Св. Петка, null, 9082140914, 42.0618783, 21.0174728
Успение на Пресвета Богородица, null, 7817932424, 41.2066003, 21.2451722
Св. Троица, null, 9633105802, 41.4632225, 21.4891619
Sv.Petka-Kuckovo, null, 1735110375, 42.0540808, 21.3135461
Xhamija e Deshmoreve Hasanbeg, null, 10176311940, 42.0148654, 21.5144095
Св. Архангел Михаил, null, 8346403071, 41.2408559, 21.8133608
Св. Никола, null, 8357172735, 41.1796264, 21.5957248
Dzamija Dolno Maalo, null, 2718749289, 41.6737698, 20.5907462
Sv. Petka-Kuckovo, null, 1734366828, 42.0555663, 21.3026299
Св. Константин и Елена, null, 4277877259, 41.4162429, 22.7545721
Алаџа-џамија, null, 559906976, 42.0046496, 21.4394979
Св. Ѓорѓија, null, 5601794412, 41.9389087, 21.6146788
Свети Спас, null, 8850780299, 41.0207827, 21.2865681
Св. Константин и Св. Елена, null, 7728117142, 41.2348788, 21.2509014
Св. Злата Мегленска, null, 10214914244, 41.0366705, 21.3521595
Св. Петка и Св. Недела, null, 8438961218, 42.159815, 21.1592022
Мустафа-пашина џамија, null, 1831108086, 42.0020559, 21.4352755
Св. 40. Севастиски маченици, null, 10214914228, 41.03999, 21.3352787
